Indicator,Type,Description,
https://gtly.to/QvlFV_zgh,URL,Dropper domain,
https://gtly.to/cuOv3gNDi,URL,Dropper domain,
https://gtly.to/dGBeBqd8z,URL,Dropper domain (Py2EXE),
laminascol.linkpc.net,Domain,QuasarRAT C2,
systemwin.linkpc.net,Domain,Meterpreter C2,
upxsystems.com,Domain,,
c63d15fe69a76186e4049960337d8c04c6230e4c2d3d3164d3531674f5f74cdf,sha256 Hash,wins (inicio0),
353406209dea860decac0363d590096e2a8717dd37d6b4d8b0272b02ad82472e,sha256 Hash,wins (PowerShell),
a03259900d4b095d7494944c50d24115c99c54f3c930bea08a43a8f0a1da5a2e,sha256 Hash,0 (Windows 10 Powershell),
46addee80c4c882b8a6903cced9b6c0130ec327ae8a59c5946bb954ccea64a12,sha256 Hash,0 (Windows 8 Powershell),
c067869ac346d007a17e2e91c1e04ca0f980e8e9c4fd5c7baa0cb0cc2398fe59,sha256 Hash,0 (Windows 7 Powershell),
10fd1b81c5774c1cc6c00cc06b3ed181b2d78191c58b8e9b54fa302e4990b13d,sha256 Hash,ByAV2.py,
c4ff3fb6a02ca0e51464b1ba161c0a7387b405c78ead528a645d08ad3e696b12,sha256 Hash,mp.py,
ac1ea54f35fe9107af1aef370e4de4dc504c8523ddaae10d95beae5a3bf67716,sha256 Hash,InMemoryMeterpreter,
