Indicator,Type,Description
198.54.115.217,IP,APT42
92.205.13.202,IP,APT42
162.0.232.252,IP,APT42
199.188.200.217,IP,APT42
Iran nuke.docx,File,APT42
69eb4fca412201039105d862d5f2bf12085d41cb18a93398afef0be8dfb9c229,SHA256 Hash,APT42
0d38f8bf831f1dbbe9a058930127171f24c3df8dae81e6aa66c430a63cbe0509,SHA256 Hash,Lockbit3
168ab5ce440d53ca7397cf3da86d68a67264c6bb0e3f6c8f2066132d6d129bdd,SHA256 Hash,Lockbit3
18f0898d595ec054d13b02915fb7d3636f65b8e53c0c66b3c7ee3b6fc37d3566,SHA256 Hash,Lockbit3
2308cef810b30ccb5be11fc664ce51b41bb6cee703f09d0a348771cf11f4dc9e,SHA256 Hash,Lockbit3
307eb30c7d3640ca11f564b1dbbb7a133236c3c9b45192ddcb317477a9f54b59,SHA256 Hash,Lockbit3
33987ca88cf48f7f9cfd46610f2c46e104f7c13f0285b5c6c2dca2c6290d9df5,SHA256 Hash,Lockbit3
35f971f9f84af8f4a42c97d6258c251e213f99741c1cfadfabbd5f1204e5658e,SHA256 Hash,Lockbit3
372d6d866798495d12b0ce745038fa2da575f22c30b061b948804cfdd8d11224,SHA256 Hash,Lockbit3
391a97a2fe6beb675fe350eb3ca0bc3a995fda43d02a7a6046cd48f042052de5,SHA256 Hash,Lockbit3
39c363d01fb5cd0ed3eeb17ca47be0280d93a07dda9bc0236a0f11b20ed95b4c,SHA256 Hash,Lockbit3
4f61f20fa1edfd0ce1de2ca8110c725c9d9c16a9680748c12042a3302054fc72,SHA256 Hash,Lockbit3
5043e94612cc5111c07f30968e7bc78e96e277f55262064207a9cd87bc23a343,SHA256 Hash,Lockbit3
506f3b12853375a1fbbf85c82ddf13341cf941c5acd4a39a51d6addf145a7a51,SHA256 Hash,Lockbit3
7d58338f7e5b4b77459835a2e057a07f81f72991a0e282d079fd5e227f68b5de,SHA256 Hash,Lockbit3
80e8defa5377018b093b5b90de0f2957f7062144c83a09a56bba1fe4eda932ce,SHA256 Hash,Lockbit3
8834c84cfd7e086f74a2ffa5b14ced2c039d78feda4bad610aba1c6bb4a6ce7f,SHA256 Hash,Lockbit3
90235e199dcb2cd6fa2e68fbfc46f1aa649f2438210fd833b8e7e748b6428ba4,SHA256 Hash,Lockbit3
986a88c4053d398624c7736a5f60d2561760b7a532677fc251c8c3dac8f3f60e,SHA256 Hash,Lockbit3
9a34909703d679b590d316eb403e12e26f73c8e479812f1d346dcba47b44bc6e,SHA256 Hash,Lockbit3
a56b41a6023f828cccaaef470874571d169fdb8f683a75edd430fbd31a2c3f6e,SHA256 Hash,Lockbit3
c6861032317562532c21e373b88efacdc1307c8a3efce8c8992584171157ebed,SHA256 Hash,Lockbit3
c6cf5fd8f71abaf5645b8423f404183b3dea180b69080f53b9678500bab6f0de,SHA256 Hash,Lockbit3
d61af007f6c792b8fb6c677143b7d0e2533394e28c50737588e40da475c040ee,SHA256 Hash,Lockbit3
e8a3e804a96c716a3e9b69195db6ffb0d33e2433af871e4d4e1eab3097237173,SHA256 Hash,Lockbit3
f4ab473dcb45beb8cb01ad616422c05a45134c6b028f310f06543e2c33584cef,SHA256 Hash,Lockbit3
fd98e75b65d992e0ccc64e512e4e3e78cb2e08ed28de755c2b192e0b7652c80a,SHA256 Hash,Lockbit3
"	168ab5ce440d53ca7397cf3da86d68a67264c6bb0e3f6c8f2066132d6d129bdd",SHA256 Hash,Lockbit3
506f3b12853375a1fbbf85c82ddf13341cf941c5acd4a39a51d6addf145a7a51,SHA256 Hash,Lockbit3
2308cef810b30ccb5be11fc664ce51b41bb6cee703f09d0a348771cf11f4dc9e,SHA256 Hash,Lockbit3
307eb30c7d3640ca11f564b1dbbb7a133236c3c9b45192ddcb317477a9f54b59,SHA256 Hash,Lockbit3
